Record Number,Page Number,School Name,Address 1,Address 2,City,State,Zip,Phone,Principal Name,School Website,District,Grades Served,Data Quality Score,Data Quality Issues
460,31,BREEDEN ELEM,"3955 Dana Ave, Brownsville, TX 78521",3955 Dana Ave,Brownsville,TX,78521,(956) 554-4730,Carla C Gonzalez,Not Found,Brownsville ISD,Prekindergarten - Grade 5,90,School Website not available
461,31,BREMOND ELEM,"601 W Collins St, Bremond, TX 76629",601 W Collins St,Bremond,TX,76629,(254) 746-7145,Mr Shelli Mcnutt,http://bremondisd.net/,Bremond ISD,Prekindergarten - Grade 5,100,
462,31,BRENDA NORWOOD ELEM,"2000 Julian Feild St, Mansfield, TX 76063",2000 Julian Feild St,Mansfield,TX,76063,(682) 320-9400,Ms Sheryl Suchsland,http://norwood.mansfieldisd.org/,Mansfield ISD,Kindergarten - Grade 4,100,
463,31,BRENHAM EARLY CHILDHOOD LEARNING CENTER,"304 Kerr St, Brenham, TX 77833",304 Kerr St,Brenham,TX,77833,(979) 277-3770,Mrs Jillian Wilkie,Not Found,Brenham ISD,Early Education - Prekindergarten,90,School Website not available
464,31,BRENHAM ELEM,"1000 Blue Bell Dr, Brenham, TX 77833",1000 Blue Bell Dr,Brenham,TX,77833,(979) 277-3880,Mrs Kim Rocka,Not Found,Brenham ISD,Kindergarten - Grade 4,90,School Website not available
465,31,BRENTFIELD ELEM,"6767 Brentfield Dr, Dallas, TX 75248",6767 Brentfield Dr,Dallas,TX,75248,(469) 593-5730,Jason Myatt,http://risd.org/,Richardson ISD,Kindergarten - Grade 6,100,
466,32,BRENTWOOD ELEM,"6703 Yates Av, Austin, TX 78757",6703 Yates Av,Austin,TX,78757,(512) 414-2039,Ms Jessica Saenz,http://www.austinisd.org/schools/brentwood,Austin ISD,Early Education - Grade 5,100,
467,32,BREWSTER ELEM,"22420 Fm1017, Edinburg, TX 78541",22420 Fm1017,Edinburg,TX,78541,(956) 289-2334,Ms Zulema Garcia,Not Found,Edinburg CISD,Prekindergarten - Grade 8,90,School Website not available
468,32,BRIARGATE ELEM,"15817 Blue Ridge Rd, Missouri City, TX 77489",15817 Blue Ridge Rd,Missouri City,TX,77489,(281) 634-4560,Jonathan Sutton,http://www.fortbendisd.com/bge,Fort Bend ISD,Kindergarten - Grade 5,100,
469,32,BRIARGROVE ELEM,"6145 San Felipe St, Houston, TX 77057",6145 San Felipe St,Houston,TX,77057,(713) 917-3600,Ms Rilondrea Jones,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
470,32,BRIARMEADOW CHARTER,"3601 Dunvale, Houston, TX 77063",3601 Dunvale,Houston,TX,77063,(713) 458-5500,Ms Brishaun Sutton,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 8,100,
471,32,BRIDGE CITY ELEM,"1035 W Roundbunch Rd, Bridge City, TX 77611",1035 W Roundbunch Rd,Bridge City,TX,77611,(409) 735-0900,Dr Tara Fountain,http://www.bridgecityisd.net/,Bridge City ISD,Early Education - Grade 2,100,
472,32,BRIDGE POINT ELEM,"6401 Cedar St, Austin, TX 78746",6401 Cedar St,Austin,TX,78746,(512) 732-9200,Mrs Sheri Bryant,Not Found,Eanes ISD,Kindergarten - Grade 5,90,School Website not available
473,32,BRIDGEPORT ELEM,"1408 Elementary Dr, Bridgeport, TX 76426",1408 Elementary Dr,Bridgeport,TX,76426,(940) 683-5955,Mrs Martha Bock,http://www.bridgeportisd.net/,Bridgeport ISD,Early Education - Grade 2,100,
474,32,BRIDGEWAY PREPARATORY ACADEMY,"1861 Valley View Ste 100, Farmers Branch, TX 75234",1861 Valley View Ste 100,Farmers Branch,TX,75234,(214) 257-8883,Dr Debbie Ripchick,http://www.bridgewaypreparatory.org/,Bridgeway Preparatory Academy,Prekindergarten - Grade 5,100,
475,32,BRIGHT ACAD,"7600 Woodstream Dr, Frisco, TX 75034",7600 Woodstream Dr,Frisco,TX,75034,(469) 633-2700,Ms Serita Dodson,http://www.friscoisd.org/,Frisco ISD,Kindergarten - Grade 5,100,
476,32,BRILL ELEM,"9102 Herts Rd, Klein, TX 77379",9102 Herts Rd,Klein,TX,77379,(832) 484-6150,Ms Ellen Hodge,http://www.kleinisd.net/,Klein ISD,Early Education - Grade 5,100,
477,32,BRINKER ELEM,"3800 John Clark Pkwy, Plano, TX 75093",3800 John Clark Pkwy,Plano,TX,75093,(469) 752-0500,Ms Andrea Cockrell,http://www.pisd.edu/,Plano ISD,Kindergarten - Grade 5,100,
478,32,BRISCOE ELEM,"2015 S Flores St, San Antonio, TX 78204",2015 S Flores St,San Antonio,TX,78204,(210) 228-3305,Jennifer Emerson,Not Found,San Antonio ISD,Prekindergarten - Grade 5,90,School Website not available
479,32,BRISCOE ELEM,"321 Forest Hill, Houston, TX 77011",321 Forest Hill,Houston,TX,77011,(713) 924-1740,Mr Carolos Rodriguez,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
480,32,BRITAIN ELEM,"631 Edmondson Dr, Irving, TX 75060",631 Edmondson Dr,Irving,TX,75060,(972) 600-3800,Shauna Villarreal,http://www.irvingisd.net/,Irving ISD,Early Education - Grade 5,100,
481,33,BRITE ELEM,"450 S Browne Ave, Brownsville, TX 78521",450 S Browne Ave,Brownsville,TX,78521,(956) 698-3000,Ms Nicole C Clint,http://www.bisd.us/brite/,Brownsville ISD,Prekindergarten - Grade 5,100,
482,33,BROADDUS ELEM,"1 Bulldog Plaza, Broaddus, TX 75929",1 Bulldog Plaza,Broaddus,TX,75929,(936) 872-3041,Mrs Karianna Grant,http://www.broaddusisd.com/,Broaddus ISD,Prekindergarten - Grade 5,100,
483,33,BROADWAY ELEM,"2855 Spring Trails Bend, Spring, TX 77386",2855 Spring Trails Bend,Spring,TX,77386,(281) 465-2900,Ms Shannon Conley,http://www.conroeisd.net/,Conroe ISD,Kindergarten - Grade 4,100,
484,33,BROCK ELEM,"3000 FM 1189, Brock, TX 76087",3000 FM 1189,Brock,TX,76087,(817) 592-6555,Mrs Erin Griffith,http://www.brockisd.net/,Brock ISD,Early Education - Grade 2,100,
485,33,BRONTE ISD,"210 S Jefferson St, Bronte, TX 76933",210 S Jefferson St,Bronte,TX,76933,(325) 473-2521,Jennifer Englert Mr Doug Kuhlmann,http://bronte.netxv.net/,Bronte ISD,Early Education - Grade 12,100,
486,33,BROOK AVENUE ELEM,"720 Brook Ave, Waco, TX 76708",720 Brook Ave,Waco,TX,76708,(254) 750-3562,Ms Lorena Ferrales,http://brookavenue.wacoisd.org/cms/One.aspx,Waco ISD,Prekindergarten - Grade 5,100,
487,33,BROOK VILLAGE EARLY CHILDHOOD,"222 Brook St, Wichita Falls, TX 76302",222 Brook St,Wichita Falls,TX,76302,(940) 235-1132,Ms Letitia Willis,http://www.wfisd.net/,Wichita Falls ISD,Prekindergarten - Prekindergarten,100,
488,33,BROOKELAND ELEM,"187 Wildcat Walk, Brookeland, TX 75931",187 Wildcat Walk,Brookeland,TX,75931,(409) 698-2413,Charlotte Odom,Not Found,Brookeland ISD,Prekindergarten - Grade 5,90,School Website not available
489,33,BROOKESMITH SCHOOL,"13400 FM 586 S, Brookesmith, TX 76827",13400 FM 586 S,Brookesmith,TX,76827,(325) 643-3023,Kyle Admire,http://www.brookesmithisd.net/,Brookesmith ISD,Prekindergarten - Grade 12,100,
490,33,BROOKHAVEN ELEM,"3221 Hilliard Ave, Killeen, TX 76543",3221 Hilliard Ave,Killeen,TX,76543,(254) 336-1440,Ms Becky Whitelow,http://www.killeenisd.org/,Killeen ISD,Early Education - Grade 5,100,
491,33,BROOKHOLLOW ELEM,"1200 Railroad Ave, Pflugerville, TX 78660",1200 Railroad Ave,Pflugerville,TX,78660,(512) 594-5200,Lisa Harris,Not Found,Pflugerville ISD,Early Education - Grade 5,90,School Website not available
492,33,BROOKLINE ELEM,"6301 S Loop E, Houston, TX 77087",6301 S Loop E,Houston,TX,77087,(713) 845-7400,Mr Rick Nagir,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
493,33,BROOKS-QUINN-JONES ELEM,"907 N Sanders St, Nacogdoches, TX 75964",907 N Sanders St,Nacogdoches,TX,75964,(936) 569-5040,Ms Amber Wilson,http://www.nacisd.org/,Nacogdoches ISD,Early Education - Grade 5,100,
494,33,BROOKWOOD ELEM,"16850 Middlebrook Dr, Houston, TX 77059",16850 Middlebrook Dr,Houston,TX,77059,(281) 284-5600,Mrs Kathy Gouger,http://www.ccisd.net/,Clear Creek ISD,Kindergarten - Grade 5,100,
495,33,BROOKWOOD FOREST ELEM,"25545 Sorters Rd, Porter, TX 77365",25545 Sorters Rd,Porter,TX,77365,(281) 577-8600,Ms Luissana Davis,http://www.newcaneyisd.org/Domain/3646,New Caney ISD,Prekindergarten - Grade 5,100,
496,34,BROWN ELEM,"2501 W 10th St, Irving, TX 75060",2501 W 10th St,Irving,TX,75060,(972) 600-4000,Maria Bloomfield,http://www.irvingisd.net/,Irving ISD,Prekindergarten - Grade 5,100,
497,34,BROWN ELEM,"2315 36th St, Lubbock, TX 79412",2315 36th St,Lubbock,TX,79412,(806) 219-5300,Yvonne Valdez,Not Found,Lubbock ISD,Prekindergarten - Grade 5,90,School Website not available
498,34,BROWN ELEM,"7801 Guadalupe St, Austin, TX 78752",7801 Guadalupe St,Austin,TX,78752,(512) 414-2047,Ms Bobbie Ortiz,http://www.austinisd.org/schools/brown,Austin ISD,Prekindergarten - Grade 5,100,
499,34,BROWN PRI,"403 SW 4th St, Smithville, TX 78957",403 SW 4th St,Smithville,TX,78957,(512) 237-2519,Ms Sarah Vinklarek,http://www.smithvilleisd.org/,Smithville ISD,Early Education - Kindergarten,100,
500,34,BROWNING ELEM,"607 Northwood St, Houston, TX 77009",607 Northwood St,Houston,TX,77009,(713) 867-5140,Ms Annie M Lara,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
501,34,BROWNSBORO ELEM,"12331 State Hwy 31 E, Brownsboro, TX 75756",12331 State Hwy 31 E,Brownsboro,TX,75756,(903) 852-6461,Mrs Robbi Mccarter,Not Found,Brownsboro ISD,Early Education - Grade 3,90,School Website not available
502,34,BRUCE ELEM,"510 Jensen Dr, Houston, TX 77020",510 Jensen Dr,Houston,TX,77020,(713) 226-4560,Ms Shawn B Nickerson,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
503,34,BRUCE SHULKEY ELEM,"5533 Whitman Ave, Fort Worth, TX 76133",5533 Whitman Ave,Fort Worth,TX,76133,(817) 814-8400,Mandi Jarchow,http://www.fortworthisd.org/,Fort Worth ISD,Prekindergarten - Grade 5,100,
504,34,BRUCEVILLE-EDDY ELEM,"#1 Eagle Dr, Eddy, TX 76524",#1 Eagle Dr,Eddy,TX,76524,(254) 859-5525,Ms Sharon Johnson,http://www.beisd.net/,Bruceville-Eddy ISD,Early Education - Grade 2,100,
505,34,BRULE ELEM,"203 Brosig Ave, Navasota, TX 77868",203 Brosig Ave,Navasota,TX,77868,(936) 825-4275,Vanikin Leggett,http://navasotaisd.org/,Navasota ISD,Prekindergarten - Grade 5,100,
506,34,BRUNI ELEM,"1508 San Eduardo, Laredo, TX 78040",1508 San Eduardo,Laredo,TX,78040,(956) 273-3000,Ms Michelle Y Martinez,Not Found,Laredo ISD,Prekindergarten - Grade 5,90,School Website not available
507,34,BRUSHY CREEK ELEM,"3800 Stonebridge, Round Rock, TX 78681",3800 Stonebridge,Round Rock,TX,78681,(512) 428-3000,Jennifer Strong,http://schools.roundrockisd.org/brushycreek/,Round Rock ISD,Early Education - Grade 5,100,
508,34,BRYAN ELEM,"1300 Elm Dr, Mission, TX 78572",1300 Elm Dr,Mission,TX,78572,(956) 323-4800,Mrs Dora Villalobos,Not Found,Mission CISD,Prekindergarten - Grade 5,90,School Website not available
509,34,BRYANT ELEM,"29801 Kingsland Blvd, Brookshire, TX 77423",29801 Kingsland Blvd,Brookshire,TX,77423,(281) 234-4300,Dr William Rhodes,http://www.katyisd.org/,Katy ISD,Early Education - Grade 5,100,
510,34,BRYANT ELEM,"2201 Havenwood Dr, Arlington, TX 76018",2201 Havenwood Dr,Arlington,TX,76018,(682) 867-5200,Jessica Hoover,Not Found,Arlington ISD,Prekindergarten - Grade 6,90,School Website not available
511,35,BRYKER WOODS ELEM,"3309 Kerbey Ln, Austin, TX 78703",3309 Kerbey Ln,Austin,TX,78703,(512) 414-2054,Ms Alicia Hill,http://www.austinisd.org/schools/brykerwoods,Austin ISD,Kindergarten - Grade 5,100,
512,35,BRYSON ELEM,"8601 Old Decatur Rd, Fort Worth, TX 76179",8601 Old Decatur Rd,Fort Worth,TX,76179,(817) 237-8306,Mr Vaughn Flagler,http://www.emsisd.com/,Eagle Mt-Saginaw ISD,Kindergarten - Grade 5,100,
513,35,BRYSON SCHOOL,"300 N Mccloud St, Bryson, TX 76427",300 N Mccloud St,Bryson,TX,76427,(940) 392-3281,Gary Kirby,http://www.brysonisd.net/,Bryson ISD,Prekindergarten - Grade 12,100,
514,35,BRYSS ACADEMY,"2255 N Coria St, Brownsville, TX 78520",2255 N Coria St,Brownsville,TX,78520,(956) 574-7100,Ms Maria Knosel Jr,http://ryss.org/,Raul Yzaguirre Schools for Success,Prekindergarten - Grade 8,100,
515,35,BUCKALEW ELEM,"4909 W Alden Bridge Dr, The Woodlands, TX 77382",4909 W Alden Bridge Dr,The Woodlands,TX,77382,(281) 465-3400,Ms Jill Price,http://www.conroeisd.net/,Conroe ISD,Kindergarten - Grade 4,100,
516,35,BUCKHOLTS SCHOOL,"203 S 10th, Buckholts, TX 76518",203 S 10th,Buckholts,TX,76518,(254) 593-2744,Alushka Driska,http://www.buckholtsisd.net/,Buckholts ISD,Prekindergarten - Grade 12,100,
517,35,BUCKNER PREPARATORY,"8510 Military Pkwy, Dallas, TX 75227",8510 Military Pkwy,Dallas,TX,75227,(214) 545-6552,Clarencia Wade,http://cityscapeschools.org/,Cityscape Schools,Early Education - Grade 5,100,
518,35,BUDA ELEM,"1060 Old San Antonio Rd, Buda, TX 78610",1060 Old San Antonio Rd,Buda,TX,78610,(512) 295-4431,Megan Zembik,http://www.hayscisd.net/,Hays CISD,Early Education - Grade 5,100,
519,35,BUENA VISTA ELEM,"100 Echo Vly Dr, Del Rio, TX 78840",100 Echo Vly Dr,Del Rio,TX,78840,(830) 778-4600,Mrs Jennifer Sutton,http://www.sfrd-cisd.org/,San Felipe-Del Rio CISD,Kindergarten - Grade 5,100,
520,35,BUENA VISTA SCHOOL,"404 W Hwy 11, Imperial, TX 79743",404 W Hwy 11,Imperial,TX,79743,(432) 536-2225,Mr Nathanial Pettigrew,http://www.bvisd.net/,Buena Vista ISD,Prekindergarten - Grade 12,100,
521,35,BUFFALO CREEK ELEM,"2801 Blalock Rd, Houston, TX 77080",2801 Blalock Rd,Houston,TX,77080,(713) 251-5300,Carrmilla Young,http://bce.springbranchisd.com/,Spring Branch ISD,Kindergarten - Grade 5,100,
522,35,BUFFALO ELEM,"1700 E Commerce, Buffalo, TX 75831",1700 E Commerce,Buffalo,TX,75831,(903) 322-2473,Mrs Susan Shelton,Not Found,Buffalo ISD,Early Education - Grade 2,90,School Website not available
523,35,BUFFALO GAP ELEM,"665 Vine St, Buffalo Gap, TX 79508",665 Vine St,Buffalo Gap,TX,79508,(325) 572-3533,Mrs Alana Mcclure,http://schools.jimned.esc14.net/page/jnesbg.homepage,Jim Ned CISD,Prekindergarten - Grade 5,100,
524,35,BULLARD EARLY CHILDHOOD,"318 Schoolhouse Rd, Bullard, TX 75757",318 Schoolhouse Rd,Bullard,TX,75757,(903) 894-6389,Mrs Amanda Goode,http://www.bullardisd.net/,Bullard ISD,Early Education - Kindergarten,100,
525,35,BULLOCK ELEM,"3909 Edgewood Dr, Garland, TX 75042",3909 Edgewood Dr,Garland,TX,75042,(972) 494-8308,Mr Brian Trichell,http://www.garlandisd.net/bullock,Garland ISD,Prekindergarten - Grade 5,100,
526,36,BULVERDE CREEK,"3839 Canyon Pkwy, San Antonio, TX 78259",3839 Canyon Pkwy,San Antonio,TX,78259,(210) 407-1000,Ms Daryn Polanco,http://www.neisd.net/,North East ISD,Early Education - Grade 5,100,
527,36,BUNA ELEM,"650 CR 725, Buna, TX 77612",650 CR 725,Buna,TX,77612,(409) 994-4840,Mrs Karen Hebert,http://www.bunaisd.net/,Buna ISD,Prekindergarten - Grade 5,100,
528,36,BUNKER HILL ELEM,"11950 Taylorcrest, Houston, TX 77024",11950 Taylorcrest,Houston,TX,77024,(713) 251-5400,Dana Johnson,http://bhe.springbranchisd.com/,Spring Branch ISD,Kindergarten - Grade 5,100,
529,36,BURBANK ELEM,"216 Tidwell, Houston, TX 77022",216 Tidwell,Houston,TX,77022,(713) 696-2690,Ms Heather Luebbers,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
530,36,BURGESS ELEM,"3106 Maurine St, Wichita Falls, TX 76305",3106 Maurine St,Wichita Falls,TX,76305,(940) 235-1136,Mrs Misty Speer,http://www.wfisd.net/,Wichita Falls ISD,Prekindergarten - Grade 5,100,
531,36,BURGIN ELEM,"401 E Mayfield Rd, Arlington, TX 76014",401 E Mayfield Rd,Arlington,TX,76014,(682) 867-1300,Carin Tufts,Not Found,Arlington ISD,Early Education - Grade 6,90,School Website not available
532,36,BURKE ELEM,"10111 Terra Oak, San Antonio, TX 78250",10111 Terra Oak,San Antonio,TX,78250,(210) 397-1300,Dr Marissa Pena,Not Found,Northside ISD,Early Education - Grade 5,90,School Website not available
533,36,BURKEVILLE SCHOOL,"231 CR 2099, Burkeville, TX 75932",231 CR 2099,Burkeville,TX,75932,(409) 565-2201,Kevin Day,http://burkevilleisd.org/,Burkeville ISD,Prekindergarten - Grade 12,100,
534,36,BURKS ELEM,"1801 Hill St, McKinney, TX 75069",1801 Hill St,McKinney,TX,75069,(469) 302-6200,Al Conley,Not Found,McKinney ISD,Kindergarten - Grade 5,90,School Website not available
535,36,BURLESON ELEM,"3900 Golder Ave, Odessa, TX 79764",3900 Golder Ave,Odessa,TX,79764,(432) 456-1039,Rosa Cruz,Not Found,Ector County ISD,Kindergarten - Grade 5,90,School Website not available
536,36,BURLEY PRI,"502 Joyce Ln, Lufkin, TX 75901",502 Joyce Ln,Lufkin,TX,75901,(936) 639-3100,Mrs Yaneth Clifton,http://www.lufkinisd.org/,Lufkin ISD,Kindergarten - Grade 2,100,
537,36,BURNET ELEM,"3700 Permian Dr, Odessa, TX 79762",3700 Permian Dr,Odessa,TX,79762,(432) 456-1049,Ms Regina Lee,Not Found,Ector County ISD,Kindergarten - Grade 5,90,School Website not available
538,36,BURNET ELEM,"5501 Ave S, Galveston, TX 77550",5501 Ave S,Galveston,TX,77550,(409) 761-6470,Mrs Beatriz Rodriquez,http://www.gisd.org/,Galveston ISD,Early Education - Grade 4,100,
539,36,BURNET ELEM,"5403 Canal St, Houston, TX 77011",5403 Canal St,Houston,TX,77011,(713) 924-1780,Ms Ana M Cantu,http://www.houstonisd.org/,Houston ISD,Kindergarten - Grade 5,100,
540,36,BURNET ELEM,"900 S Raymond Rd, Midland, TX 79703",900 S Raymond Rd,Midland,TX,79703,(432) 240-6200,Mrs Maribel Hernandez,http://www.midlandisd.net/,Midland ISD,Prekindergarten - Grade 6,100,
541,37,BURNETT ELEM,"11825 Teaneck Dr, Houston, TX 77089",11825 Teaneck Dr,Houston,TX,77089,(713) 740-0536,Mr Jae Lee,Not Found,Pasadena ISD,Early Education - Grade 4,90,School Website not available
542,37,BURNS ELEM,"1974 Alton Gloor Blvd, Brownsville, TX 78521",1974 Alton Gloor Blvd,Brownsville,TX,78521,(956) 548-8490,Julie Garcia,http://www.bisd.us/burns/,Brownsville ISD,Early Education - Grade 5,100,
543,37,BURRUS ELEM,"701 E 33rd St, Houston, TX 77022",701 E 33rd St,Houston,TX,77022,(713) 867-5180,Ms Nicole Mitchell,http://www.houstonisd.org/,Houston ISD,Prekindergarten - Grade 5,100,
544,37,BURTON ELEM,"12504 Cedar St, Burton, TX 77835",12504 Cedar St,Burton,TX,77835,(979) 289-2175,Mrs Melinda Fuchs,Not Found,Burton ISD,Prekindergarten - Grade 6,90,School Website not available
545,37,BURTON HILL ELEM,"519 Burton Hill Rd, Fort Worth, TX 76107",519 Burton Hill Rd,Fort Worth,TX,76107,(817) 815-1400,Mr John Bradford,http://www.fortworthisd.org/,Fort Worth ISD,Early Education - Grade 5,100,
546,37,BUSH ELEM,"9730 Stroud Dr, Houston, TX 77036",9730 Stroud Dr,Houston,TX,77036,(713) 272-3220,Ms Terae Harris,http://www.aliefisd.net/,Alief ISD,Early Education - Grade 4,100,
547,37,BUSH ELEM,"13800 Westerloch Dr, Houston, TX 77077",13800 Westerloch Dr,Houston,TX,77077,(281) 368-2150,Ms Theresa L Rose,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
548,37,BUSH ELEM,"5001 Preston Dr, Midland, TX 79707",5001 Preston Dr,Midland,TX,79707,(432) 240-6300,Mrs Rebecca Mccright,http://www.midlandisd.net/,Midland ISD,Early Education - Grade 6,100,
549,37,BUSH ELEM,"7420 Crownridge Dr, The Woodlands, TX 77382",7420 Crownridge Dr,The Woodlands,TX,77382,(936) 709-1600,Ms Elizabeth Thompson,http://www.conroeisd.net/,Conroe ISD,Early Education - Grade 4,100,
550,37,BUSHLAND ELEM,"2400 Wells, Bushland, TX 79012",2400 Wells,Bushland,TX,79012,(806) 359-5410,Mrs Brandi Rankin,http://www.bushlandisd.net/,Bushland ISD,Prekindergarten - Grade 4,100,
551,37,BUTLER ELEM,"2121 Margaret Dr, Arlington, TX 76012",2121 Margaret Dr,Arlington,TX,76012,(682) 867-1010,Ms Mark Basham,Not Found,Arlington ISD,Kindergarten - Grade 6,90,School Website not available
552,37,BUTTERFIELD ELEM,"291 Indian Ln, Sanger, TX 76266",291 Indian Ln,Sanger,TX,76266,(940) 458-4377,Mrs Jill Morphis,http://sisd.sangerisd.net/,Sanger ISD,Early Education - Grade 5,100,
553,37,BYNUM SCHOOL,"704 Toliver Ave, Bynum, TX 76631",704 Toliver Ave,Bynum,TX,76631,(254) 531-2341,Ms Kara Mackey,http://www.bynumisd.net/,Bynum ISD,Prekindergarten - Grade 12,100,
554,37,C A TATUM JR ELEM,"3002 St Augustine Rd, Dallas, TX 75227",3002 St Augustine Rd,Dallas,TX,75227,(972) 502-2000,Enrique Rodriguez,http://www.dallasisd.org/tatum,Dallas ISD,Prekindergarten - Grade 5,100,
555,37,C C HARDY ELEM,"701 Gerald St, Willis, TX 77378",701 Gerald St,Willis,TX,77378,(936) 856-1241,Mrs Susan Fossler,http://www.willisisd.org/,Willis ISD,Kindergarten - Grade 5,100,
556,38,C C MASON ELEM,"1501 N Lakeline Blvd, Cedar Park, TX 78613",1501 N Lakeline Blvd,Cedar Park,TX,78613,(512) 570-5500,Ms Abby Kennell,Not Found,Leander ISD,Kindergarten - Grade 5,90,School Website not available
557,38,C D LANDOLT ELEM,"2104 Pilgrims Point, Friendswood, TX 77546",2104 Pilgrims Point,Friendswood,TX,77546,(281) 284-5200,Ms Deb Reno,http://www.ccisd.net/,Clear Creek ISD,Prekindergarten - Grade 5,100,
558,38,C E VAIL ELEM,"209 W Jessamine Ave, La Feria, TX 78559",209 W Jessamine Ave,La Feria,TX,78559,(956) 797-8460,Mrs Rosalinda Garza,http://www.laferiaisd.org/,La Feria ISD,Prekindergarten - Grade 4,100,
559,38,C F CARR ELEM,"1952 Bayside St, Dallas, TX 75212",1952 Bayside St,Dallas,TX,75212,(972) 794-4300,Carlotta Hooks,http://www.dallasisd.org/carr,Dallas ISD,Prekindergarten - Grade 6,100,
560,38,C G SIVELLS ELEM,"1605 Alabama Rd, Wharton, TX 77488",1605 Alabama Rd,Wharton,TX,77488,(979) 532-6866,Ms Amalia Villarreal,http://www.whartonisd.net/,Wharton ISD,Early Education - Grade 1,100,
561,38,C J HARRIS ELEM,"2314 Schleider Dr, Pearland, TX 77581",2314 Schleider Dr,Pearland,TX,77581,(281) 485-4024,Ms Brenda Keimig,http://www.pearlandisd.org/harris,Pearland ISD,Early Education - Grade 4,100,
562,38,C O CHANDLER ELEM,"5105 Guy Grant Rd, Victoria, TX 77904",5105 Guy Grant Rd,Victoria,TX,77904,(361) 788-9587,Ms Melanie Steed,Not Found,Victoria ISD,Early Education - Grade 5,90,School Website not available
563,38,C R CLEMENTS/HOLLIE PARSONS ELEM,"1115 Northern Dancer, Copperas Cove, TX 76522",1115 Northern Dancer,Copperas Cove,TX,76522,(254) 547-2235,Ms Jennifer Maples,http://www.ccisd.com/Domain/484,Copperas Cove ISD,Kindergarten - Grade 5,100,
564,38,C STAINKE ELEM,"1309 S Ave, Donna, TX 78537",1309 S Ave,Donna,TX,78537,(956) 464-1940,Ms Veronica Huerta,http://www.donnaisd.net/,Donna ISD,Early Education - Grade 5,100,
565,38,C T EDDINS ELEM,"311 Peregrine Dr, McKinney, TX 75070",311 Peregrine Dr,McKinney,TX,75070,(469) 302-6600,Cari Owens,Not Found,McKinney ISD,Kindergarten - Grade 5,90,School Website not available
566,38,C W CLINE ELEM,"505 Briarmeadow Ave, Friendswood, TX 77546",505 Briarmeadow Ave,Friendswood,TX,77546,(281) 482-1201,Mr Barry M Clifford,Not Found,Friendswood ISD,Kindergarten - Grade 3,90,School Website not available
567,38,CJ & ANNE HYMAN ELEM,"8441 Fox Creek Trl, Dallas, TX 75249",8441 Fox Creek Trl,Dallas,TX,75249,(972) 708-6700,Mr Derrick Ross,Not Found,Duncanville ISD,Early Education - Grade 4,90,School Website not available
568,38,CABLE ELEM,"1706 Pinn Rd, San Antonio, TX 78227",1706 Pinn Rd,San Antonio,TX,78227,(210) 397-2850,Ms Debra Pinon,http://nisd.net/,Northside ISD,Prekindergarten - Grade 5,100,
569,38,CACTUS ELEM,"100 S Dr, Cactus, TX 79013",100 S Dr,Cactus,TX,79013,(806) 966-5102,Tj Funderburg,http://www.dumasisd.org/,Dumas ISD,Prekindergarten - Grade 4,100,
570,38,CACTUS RANCH ELEM,"2901 Goldenoak Cir, Round Rock, TX 78681",2901 Goldenoak Cir,Round Rock,TX,78681,(512) 424-8000,Vicki Crain,http://schools.roundrockisd.org/cactusranch/,Round Rock ISD,Early Education - Grade 5,100,
571,39,CACTUS TRAILS,"14701 Ralph Seitsinger Dr, El Paso, TX 79938",14701 Ralph Seitsinger Dr,El Paso,TX,79938,(915) 938-2602,Carolyn Leslie Thomas,Not Found,Socorro ISD,Early Education - Grade 5,90,School Website not available
572,39,CADDO GROVE ELEM,"7301 FM 1902, Joshua, TX 76058",7301 FM 1902,Joshua,TX,76058,(817) 202-2500,Mrs Tanya Chernow,Not Found,Joshua ISD,Prekindergarten - Grade 5,90,School Website not available
573,39,CAGE ELEM,"4528 Leeland St, Houston, TX 77023",4528 Leeland St,Houston,TX,77023,(713) 924-1700,Ms Lisa M Rodriguez,http://www.houstonisd.org/,Houston ISD,Early Education - Grade 5,100,
574,39,CALALLEN EAST ELEM,"3709 Lott Ave, Corpus Christi, TX 78410",3709 Lott Ave,Corpus Christi,TX,78410,(361) 242-5938,Mrs Kimberly Rodriguez,http://www.calallen.org/,Calallen ISD,Prekindergarten - Grade 3,100,
575,39,CALALLEN WOOD RIVER ELEM,"15118 Dry Creek Dr, Corpus Christi, TX 78410",15118 Dry Creek Dr,Corpus Christi,TX,78410,(361) 242-7560,Ms Melinda Barron,http://www.calallen.org/,Calallen ISD,Early Education - Grade 3,100,
576,39,CALDER ROAD ELEM,"6511 Calder Rd, Dickinson, TX 77539",6511 Calder Rd,Dickinson,TX,77539,(281) 229-7500,Jennifer Heard,http://www.dickinsonisd.org/,Dickinson ISD,Early Education - Grade 4,100,
